,imgA,imgB,imgA_seg,imgB_seg
199,img/WOMEN/Tees_Tanks/id_00005085/19_2_side.jpg,img/WOMEN/Tees_Tanks/id_00005085/19_1_front.jpg,img_seg/WOMEN/Tees_Tanks/id_00005085/19_2_side_segment.png,img_seg/WOMEN/Tees_Tanks/id_00005085/19_1_front_segment.png
202,img/WOMEN/Tees_Tanks/id_00005085/19_1_front.jpg,img/WOMEN/Tees_Tanks/id_00005085/19_2_side.jpg,img_seg/WOMEN/Tees_Tanks/id_00005085/19_1_front_segment.png,img_seg/WOMEN/Tees_Tanks/id_00005085/19_2_side_segment.png
211,img/WOMEN/Dresses/id_00001892/03_1_front.jpg,img/WOMEN/Dresses/id_00001892/03_2_side.jpg,img_seg/WOMEN/Dresses/id_00001892/03_1_front_segment.png,img_seg/WOMEN/Dresses/id_00001892/03_2_side_segment.png
216,img/WOMEN/Dresses/id_00001892/03_2_side.jpg,img/WOMEN/Dresses/id_00001892/03_1_front.jpg,img_seg/WOMEN/Dresses/id_00001892/03_2_side_segment.png,img_seg/WOMEN/Dresses/id_00001892/03_1_front_segment.png
219,img/WOMEN/Dresses/id_00004500/02_1_front.jpg,img/WOMEN/Dresses/id_00004500/02_2_side.jpg,img_seg/WOMEN/Dresses/id_00004500/02_1_front_segment.png,img_seg/WOMEN/Dresses/id_00004500/02_2_side_segment.png
222,img/WOMEN/Dresses/id_00004500/02_2_side.jpg,img/WOMEN/Dresses/id_00004500/02_1_front.jpg,img_seg/WOMEN/Dresses/id_00004500/02_2_side_segment.png,img_seg/WOMEN/Dresses/id_00004500/02_1_front_segment.png
232,img/WOMEN/Blouses_Shirts/id_00002654/01_1_front.jpg,img/WOMEN/Blouses_Shirts/id_00002654/01_2_side.jpg,img_seg/WOMEN/Blouses_Shirts/id_00002654/01_1_front_segment.png,img_seg/WOMEN/Blouses_Shirts/id_00002654/01_2_side_segment.png
235,img/WOMEN/Blouses_Shirts/id_00002654/01_2_side.jpg,img/WOMEN/Blouses_Shirts/id_00002654/01_1_front.jpg,img_seg/WOMEN/Blouses_Shirts/id_00002654/01_2_side_segment.png,img_seg/WOMEN/Blouses_Shirts/id_00002654/01_1_front_segment.png
246,img/MEN/Tees_Tanks/id_00003349/01_2_side.jpg,img/MEN/Tees_Tanks/id_00003349/01_1_front.jpg,img_seg/MEN/Tees_Tanks/id_00003349/01_2_side_segment.png,img_seg/MEN/Tees_Tanks/id_00003349/01_1_front_segment.png
249,img/MEN/Tees_Tanks/id_00003349/01_1_front.jpg,img/MEN/Tees_Tanks/id_00003349/01_2_side.jpg,img_seg/MEN/Tees_Tanks/id_00003349/01_1_front_segment.png,img_seg/MEN/Tees_Tanks/id_00003349/01_2_side_segment.png
256,img/WOMEN/Dresses/id_00006839/02_1_front.jpg,img/WOMEN/Dresses/id_00006839/02_2_side.jpg,img_seg/WOMEN/Dresses/id_00006839/02_1_front_segment.png,img_seg/WOMEN/Dresses/id_00006839/02_2_side_segment.png
263,img/WOMEN/Dresses/id_00006839/02_2_side.jpg,img/WOMEN/Dresses/id_00006839/02_1_front.jpg,img_seg/WOMEN/Dresses/id_00006839/02_2_side_segment.png,img_seg/WOMEN/Dresses/id_00006839/02_1_front_segment.png
269,img/WOMEN/Rompers_Jumpsuits/id_00001211/02_1_front.jpg,img/WOMEN/Rompers_Jumpsuits/id_00001211/02_2_side.jpg,img_seg/WOMEN/Rompers_Jumpsuits/id_00001211/02_1_front_segment.png,img_seg/WOMEN/Rompers_Jumpsuits/id_00001211/02_2_side_segment.png
271,img/WOMEN/Rompers_Jumpsuits/id_00001211/02_2_side.jpg,img/WOMEN/Rompers_Jumpsuits/id_00001211/02_1_front.jpg,img_seg/WOMEN/Rompers_Jumpsuits/id_00001211/02_2_side_segment.png,img_seg/WOMEN/Rompers_Jumpsuits/id_00001211/02_1_front_segment.png
295,img/WOMEN/Tees_Tanks/id_00007663/06_1_front.jpg,img/WOMEN/Tees_Tanks/id_00007663/06_2_side.jpg,img_seg/WOMEN/Tees_Tanks/id_00007663/06_1_front_segment.png,img_seg/WOMEN/Tees_Tanks/id_00007663/06_2_side_segment.png
300,img/WOMEN/Tees_Tanks/id_00007663/06_2_side.jpg,img/WOMEN/Tees_Tanks/id_00007663/06_1_front.jpg,img_seg/WOMEN/Tees_Tanks/id_00007663/06_2_side_segment.png,img_seg/WOMEN/Tees_Tanks/id_00007663/06_1_front_segment.png
304,img/WOMEN/Tees_Tanks/id_00002415/05_2_side.jpg,img/WOMEN/Tees_Tanks/id_00002415/05_1_front.jpg,img_seg/WOMEN/Tees_Tanks/id_00002415/05_2_side_segment.png,img_seg/WOMEN/Tees_Tanks/id_00002415/05_1_front_segment.png
311,img/WOMEN/Tees_Tanks/id_00002415/05_1_front.jpg,img/WOMEN/Tees_Tanks/id_00002415/05_2_side.jpg,img_seg/WOMEN/Tees_Tanks/id_00002415/05_1_front_segment.png,img_seg/WOMEN/Tees_Tanks/id_00002415/05_2_side_segment.png
322,img/WOMEN/Sweaters/id_00003728/01_2_side.jpg,img/WOMEN/Sweaters/id_00003728/01_1_front.jpg,img_seg/WOMEN/Sweaters/id_00003728/01_2_side_segment.png,img_seg/WOMEN/Sweaters/id_00003728/01_1_front_segment.png
329,img/WOMEN/Sweaters/id_00003728/01_1_front.jpg,img/WOMEN/Sweaters/id_00003728/01_2_side.jpg,img_seg/WOMEN/Sweaters/id_00003728/01_1_front_segment.png,img_seg/WOMEN/Sweaters/id_00003728/01_2_side_segment.png
333,img/WOMEN/Sweatshirts_Hoodies/id_00005706/03_2_side.jpg,img/WOMEN/Sweatshirts_Hoodies/id_00005706/03_1_front.jpg,img_seg/WOMEN/Sweatshirts_Hoodies/id_00005706/03_2_side_segment.png,img_seg/WOMEN/Sweatshirts_Hoodies/id_00005706/03_1_front_segment.png
338,img/WOMEN/Sweatshirts_Hoodies/id_00005706/03_1_front.jpg,img/WOMEN/Sweatshirts_Hoodies/id_00005706/03_2_side.jpg,img_seg/WOMEN/Sweatshirts_Hoodies/id_00005706/03_1_front_segment.png,img_seg/WOMEN/Sweatshirts_Hoodies/id_00005706/03_2_side_segment.png
346,img/WOMEN/Sweaters/id_00005317/03_1_front.jpg,img/WOMEN/Sweaters/id_00005317/03_2_side.jpg,img_seg/WOMEN/Sweaters/id_00005317/03_1_front_segment.png,img_seg/WOMEN/Sweaters/id_00005317/03_2_side_segment.png
353,img/WOMEN/Sweaters/id_00005317/03_2_side.jpg,img/WOMEN/Sweaters/id_00005317/03_1_front.jpg,img_seg/WOMEN/Sweaters/id_00005317/03_2_side_segment.png,img_seg/WOMEN/Sweaters/id_00005317/03_1_front_segment.png
357,img/MEN/Tees_Tanks/id_00002310/09_1_front.jpg,img/MEN/Tees_Tanks/id_00002310/09_2_side.jpg,img_seg/MEN/Tees_Tanks/id_00002310/09_1_front_segment.png,img_seg/MEN/Tees_Tanks/id_00002310/09_2_side_segment.png
362,img/MEN/Tees_Tanks/id_00002310/09_2_side.jpg,img/MEN/Tees_Tanks/id_00002310/09_1_front.jpg,img_seg/MEN/Tees_Tanks/id_00002310/09_2_side_segment.png,img_seg/MEN/Tees_Tanks/id_00002310/09_1_front_segment.png
370,img/WOMEN/Rompers_Jumpsuits/id_00001245/01_1_front.jpg,img/WOMEN/Rompers_Jumpsuits/id_00001245/01_2_side.jpg,img_seg/WOMEN/Rompers_Jumpsuits/id_00001245/01_1_front_segment.png,img_seg/WOMEN/Rompers_Jumpsuits/id_00001245/01_2_side_segment.png
380,img/WOMEN/Rompers_Jumpsuits/id_00001245/01_2_side.jpg,img/WOMEN/Rompers_Jumpsuits/id_00001245/01_1_front.jpg,img_seg/WOMEN/Rompers_Jumpsuits/id_00001245/01_2_side_segment.png,img_seg/WOMEN/Rompers_Jumpsuits/id_00001245/01_1_front_segment.png
390,img/WOMEN/Tees_Tanks/id_00004721/02_2_side.jpg,img/WOMEN/Tees_Tanks/id_00004721/02_1_front.jpg,img_seg/WOMEN/Tees_Tanks/id_00004721/02_2_side_segment.png,img_seg/WOMEN/Tees_Tanks/id_00004721/02_1_front_segment.png
397,img/WOMEN/Tees_Tanks/id_00004721/02_1_front.jpg,img/WOMEN/Tees_Tanks/id_00004721/02_2_side.jpg,img_seg/WOMEN/Tees_Tanks/id_00004721/02_1_front_segment.png,img_seg/WOMEN/Tees_Tanks/id_00004721/02_2_side_segment.png
400,img/WOMEN/Jackets_Coats/id_00007765/04_2_side.jpg,img/WOMEN/Jackets_Coats/id_00007765/04_1_front.jpg,img_seg/WOMEN/Jackets_Coats/id_00007765/04_2_side_segment.png,img_seg/WOMEN/Jackets_Coats/id_00007765/04_1_front_segment.png
402,img/WOMEN/Jackets_Coats/id_00007765/04_1_front.jpg,img/WOMEN/Jackets_Coats/id_00007765/04_2_side.jpg,img_seg/WOMEN/Jackets_Coats/id_00007765/04_1_front_segment.png,img_seg/WOMEN/Jackets_Coats/id_00007765/04_2_side_segment.png
409,img/WOMEN/Tees_Tanks/id_00006553/02_1_front.jpg,img/WOMEN/Tees_Tanks/id_00006553/02_2_side.jpg,img_seg/WOMEN/Tees_Tanks/id_00006553/02_1_front_segment.png,img_seg/WOMEN/Tees_Tanks/id_00006553/02_2_side_segment.png
414,img/WOMEN/Tees_Tanks/id_00006553/02_2_side.jpg,img/WOMEN/Tees_Tanks/id_00006553/02_1_front.jpg,img_seg/WOMEN/Tees_Tanks/id_00006553/02_2_side_segment.png,img_seg/WOMEN/Tees_Tanks/id_00006553/02_1_front_segment.png
422,img/WOMEN/Dresses/id_00004199/02_2_side.jpg,img/WOMEN/Dresses/id_00004199/02_1_front.jpg,img_seg/WOMEN/Dresses/id_00004199/02_2_side_segment.png,img_seg/WOMEN/Dresses/id_00004199/02_1_front_segment.png
424,img/WOMEN/Dresses/id_00004199/02_1_front.jpg,img/WOMEN/Dresses/id_00004199/02_2_side.jpg,img_seg/WOMEN/Dresses/id_00004199/02_1_front_segment.png,img_seg/WOMEN/Dresses/id_00004199/02_2_side_segment.png
436,img/WOMEN/Blouses_Shirts/id_00003822/04_2_side.jpg,img/WOMEN/Blouses_Shirts/id_00003822/04_1_front.jpg,img_seg/WOMEN/Blouses_Shirts/id_00003822/04_2_side_segment.png,img_seg/WOMEN/Blouses_Shirts/id_00003822/04_1_front_segment.png
439,img/WOMEN/Blouses_Shirts/id_00003822/04_1_front.jpg,img/WOMEN/Blouses_Shirts/id_00003822/04_2_side.jpg,img_seg/WOMEN/Blouses_Shirts/id_00003822/04_1_front_segment.png,img_seg/WOMEN/Blouses_Shirts/id_00003822/04_2_side_segment.png
448,img/WOMEN/Sweaters/id_00000628/01_1_front.jpg,img/WOMEN/Sweaters/id_00000628/01_2_side.jpg,img_seg/WOMEN/Sweaters/id_00000628/01_1_front_segment.png,img_seg/WOMEN/Sweaters/id_00000628/01_2_side_segment.png
451,img/WOMEN/Sweaters/id_00000628/01_2_side.jpg,img/WOMEN/Sweaters/id_00000628/01_1_front.jpg,img_seg/WOMEN/Sweaters/id_00000628/01_2_side_segment.png,img_seg/WOMEN/Sweaters/id_00000628/01_1_front_segment.png
452,img/WOMEN/Tees_Tanks/id_00005433/04_1_front.jpg,img/WOMEN/Tees_Tanks/id_00005433/04_2_side.jpg,img_seg/WOMEN/Tees_Tanks/id_00005433/04_1_front_segment.png,img_seg/WOMEN/Tees_Tanks/id_00005433/04_2_side_segment.png
455,img/WOMEN/Tees_Tanks/id_00005433/04_2_side.jpg,img/WOMEN/Tees_Tanks/id_00005433/04_1_front.jpg,img_seg/WOMEN/Tees_Tanks/id_00005433/04_2_side_segment.png,img_seg/WOMEN/Tees_Tanks/id_00005433/04_1_front_segment.png
465,img/WOMEN/Dresses/id_00007016/07_1_front.jpg,img/WOMEN/Dresses/id_00007016/07_2_side.jpg,img_seg/WOMEN/Dresses/id_00007016/07_1_front_segment.png,img_seg/WOMEN/Dresses/id_00007016/07_2_side_segment.png
470,img/WOMEN/Dresses/id_00007016/07_2_side.jpg,img/WOMEN/Dresses/id_00007016/07_1_front.jpg,img_seg/WOMEN/Dresses/id_00007016/07_2_side_segment.png,img_seg/WOMEN/Dresses/id_00007016/07_1_front_segment.png
478,img/WOMEN/Sweaters/id_00003188/05_2_side.jpg,img/WOMEN/Sweaters/id_00003188/05_1_front.jpg,img_seg/WOMEN/Sweaters/id_00003188/05_2_side_segment.png,img_seg/WOMEN/Sweaters/id_00003188/05_1_front_segment.png
485,img/WOMEN/Sweaters/id_00003188/05_1_front.jpg,img/WOMEN/Sweaters/id_00003188/05_2_side.jpg,img_seg/WOMEN/Sweaters/id_00003188/05_1_front_segment.png,img_seg/WOMEN/Sweaters/id_00003188/05_2_side_segment.png
494,img/MEN/Tees_Tanks/id_00002310/07_1_front.jpg,img/MEN/Tees_Tanks/id_00002310/07_2_side.jpg,img_seg/MEN/Tees_Tanks/id_00002310/07_1_front_segment.png,img_seg/MEN/Tees_Tanks/id_00002310/07_2_side_segment.png
501,img/MEN/Tees_Tanks/id_00002310/07_2_side.jpg,img/MEN/Tees_Tanks/id_00002310/07_1_front.jpg,img_seg/MEN/Tees_Tanks/id_00002310/07_2_side_segment.png,img_seg/MEN/Tees_Tanks/id_00002310/07_1_front_segment.png
512,img/WOMEN/Rompers_Jumpsuits/id_00003075/01_2_side.jpg,img/WOMEN/Rompers_Jumpsuits/id_00003075/01_1_front.jpg,img_seg/WOMEN/Rompers_Jumpsuits/id_00003075/01_2_side_segment.png,img_seg/WOMEN/Rompers_Jumpsuits/id_00003075/01_1_front_segment.png
515,img/WOMEN/Rompers_Jumpsuits/id_00003075/01_1_front.jpg,img/WOMEN/Rompers_Jumpsuits/id_00003075/01_2_side.jpg,img_seg/WOMEN/Rompers_Jumpsuits/id_00003075/01_1_front_segment.png,img_seg/WOMEN/Rompers_Jumpsuits/id_00003075/01_2_side_segment.png
521,img/WOMEN/Tees_Tanks/id_00007896/05_2_side.jpg,img/WOMEN/Tees_Tanks/id_00007896/05_1_front.jpg,img_seg/WOMEN/Tees_Tanks/id_00007896/05_2_side_segment.png,img_seg/WOMEN/Tees_Tanks/id_00007896/05_1_front_segment.png
526,img/WOMEN/Tees_Tanks/id_00007896/05_1_front.jpg,img/WOMEN/Tees_Tanks/id_00007896/05_2_side.jpg,img_seg/WOMEN/Tees_Tanks/id_00007896/05_1_front_segment.png,img_seg/WOMEN/Tees_Tanks/id_00007896/05_2_side_segment.png
543,img/WOMEN/Dresses/id_00006067/02_1_front.jpg,img/WOMEN/Dresses/id_00006067/02_2_side.jpg,img_seg/WOMEN/Dresses/id_00006067/02_1_front_segment.png,img_seg/WOMEN/Dresses/id_00006067/02_2_side_segment.png
548,img/WOMEN/Dresses/id_00006067/02_2_side.jpg,img/WOMEN/Dresses/id_00006067/02_1_front.jpg,img_seg/WOMEN/Dresses/id_00006067/02_2_side_segment.png,img_seg/WOMEN/Dresses/id_00006067/02_1_front_segment.png
565,img/WOMEN/Sweaters/id_00005831/02_1_front.jpg,img/WOMEN/Sweaters/id_00005831/02_2_side.jpg,img_seg/WOMEN/Sweaters/id_00005831/02_1_front_segment.png,img_seg/WOMEN/Sweaters/id_00005831/02_2_side_segment.png
569,img/WOMEN/Sweaters/id_00005831/02_2_side.jpg,img/WOMEN/Sweaters/id_00005831/02_1_front.jpg,img_seg/WOMEN/Sweaters/id_00005831/02_2_side_segment.png,img_seg/WOMEN/Sweaters/id_00005831/02_1_front_segment.png
590,img/WOMEN/Sweaters/id_00004626/02_1_front.jpg,img/WOMEN/Sweaters/id_00004626/02_2_side.jpg,img_seg/WOMEN/Sweaters/id_00004626/02_1_front_segment.png,img_seg/WOMEN/Sweaters/id_00004626/02_2_side_segment.png
593,img/WOMEN/Sweaters/id_00004626/02_2_side.jpg,img/WOMEN/Sweaters/id_00004626/02_1_front.jpg,img_seg/WOMEN/Sweaters/id_00004626/02_2_side_segment.png,img_seg/WOMEN/Sweaters/id_00004626/02_1_front_segment.png
598,img/WOMEN/Jackets_Coats/id_00005652/04_1_front.jpg,img/WOMEN/Jackets_Coats/id_00005652/04_2_side.jpg,img_seg/WOMEN/Jackets_Coats/id_00005652/04_1_front_segment.png,img_seg/WOMEN/Jackets_Coats/id_00005652/04_2_side_segment.png
601,img/WOMEN/Jackets_Coats/id_00005652/04_2_side.jpg,img/WOMEN/Jackets_Coats/id_00005652/04_1_front.jpg,img_seg/WOMEN/Jackets_Coats/id_00005652/04_2_side_segment.png,img_seg/WOMEN/Jackets_Coats/id_00005652/04_1_front_segment.png
608,img/WOMEN/Dresses/id_00007856/03_2_side.jpg,img/WOMEN/Dresses/id_00007856/03_1_front.jpg,img_seg/WOMEN/Dresses/id_00007856/03_2_side_segment.png,img_seg/WOMEN/Dresses/id_00007856/03_1_front_segment.png
615,img/WOMEN/Dresses/id_00007856/03_1_front.jpg,img/WOMEN/Dresses/id_00007856/03_2_side.jpg,img_seg/WOMEN/Dresses/id_00007856/03_1_front_segment.png,img_seg/WOMEN/Dresses/id_00007856/03_2_side_segment.png
622,img/WOMEN/Blouses_Shirts/id_00006280/01_1_front.jpg,img/WOMEN/Blouses_Shirts/id_00006280/01_2_side.jpg,img_seg/WOMEN/Blouses_Shirts/id_00006280/01_1_front_segment.png,img_seg/WOMEN/Blouses_Shirts/id_00006280/01_2_side_segment.png
625,img/WOMEN/Blouses_Shirts/id_00006280/01_2_side.jpg,img/WOMEN/Blouses_Shirts/id_00006280/01_1_front.jpg,img_seg/WOMEN/Blouses_Shirts/id_00006280/01_2_side_segment.png,img_seg/WOMEN/Blouses_Shirts/id_00006280/01_1_front_segment.png
635,img/MEN/Tees_Tanks/id_00007723/10_1_front.jpg,img/MEN/Tees_Tanks/id_00007723/10_2_side.jpg,img_seg/MEN/Tees_Tanks/id_00007723/10_1_front_segment.png,img_seg/MEN/Tees_Tanks/id_00007723/10_2_side_segment.png
640,img/MEN/Tees_Tanks/id_00007723/10_2_side.jpg,img/MEN/Tees_Tanks/id_00007723/10_1_front.jpg,img_seg/MEN/Tees_Tanks/id_00007723/10_2_side_segment.png,img_seg/MEN/Tees_Tanks/id_00007723/10_1_front_segment.png
643,img/MEN/Tees_Tanks/id_00007748/01_2_side.jpg,img/MEN/Tees_Tanks/id_00007748/01_1_front.jpg,img_seg/MEN/Tees_Tanks/id_00007748/01_2_side_segment.png,img_seg/MEN/Tees_Tanks/id_00007748/01_1_front_segment.png
648,img/MEN/Tees_Tanks/id_00007748/01_1_front.jpg,img/MEN/Tees_Tanks/id_00007748/01_2_side.jpg,img_seg/MEN/Tees_Tanks/id_00007748/01_1_front_segment.png,img_seg/MEN/Tees_Tanks/id_00007748/01_2_side_segment.png
656,img/WOMEN/Tees_Tanks/id_00003343/08_2_side.jpg,img/WOMEN/Tees_Tanks/id_00003343/08_1_front.jpg,img_seg/WOMEN/Tees_Tanks/id_00003343/08_2_side_segment.png,img_seg/WOMEN/Tees_Tanks/id_00003343/08_1_front_segment.png
663,img/WOMEN/Tees_Tanks/id_00003343/08_1_front.jpg,img/WOMEN/Tees_Tanks/id_00003343/08_2_side.jpg,img_seg/WOMEN/Tees_Tanks/id_00003343/08_1_front_segment.png,img_seg/WOMEN/Tees_Tanks/id_00003343/08_2_side_segment.png
